Weekday,hour,minute,day_of_year,Quantity-1,Power
3,9,7,259,733190334.0,1128628548.0
3,8,40,322,381177350.0,582255767.0
2,13,9,335,491074956.0,1519401416.0
5,12,13,254,674697973.0,1642710599.0
4,9,24,288,342847082.0,612372516.0
3,12,6,273,394922028.0,1738535192.0
0,0,10,249,1081912145.0,469193745.0
5,8,53,212,1128628548.0,353066400.0
0,1,19,256,582255767.0,351267068.0
1,0,53,250,1519401416.0,347996963.0
3,1,55,350,1642710599.0,345985238.0
2,5,16,279,612372516.0,500803115.0
3,8,38,280,1738535192.0,814499622.0
4,12,26,267,469193745.0,1786146248.0
5,0,39,247,353066400.0,354320979.0
2,2,19,251,351267068.0,452106997.0
0,5,39,298,347996963.0,314369205.0
2,13,57,314,345985238.0,1551437637.0
1,13,37,250,500803115.0,1293224820.0
5,1,44,261,814499622.0,364780508.0
5,23,33,219,1786146248.0,354507135.0
5,22,1,233,354320979.0,573512375.0
1,5,34,278,452106997.0,477316408.0
5,7,43,268,314369205.0,683328796.0
2,11,38,293,1551437637.0,1862126000.0
4,3,1,288,1293224820.0,347148382.0
3,12,26,224,364780508.0,1440539066.0
3,22,19,245,354507135.0,329794660.0
4,20,37,232,573512375.0,539490279.0
0,15,45,221,477316408.0,1311330096.0
4,22,42,246,683328796.0,316101169.0
1,23,20,201,1862126000.0,0.0
2,21,9,279,347148382.0,607729614.0
2,1,51,272,1440539066.0,352033522.0
2,16,47,223,329794660.0,1115291943.0
5,5,9,275,539490279.0,627805336.0
3,8,36,287,1311330096.0,349715280.0
4,7,38,309,316101169.0,681039792.0
1,6,1,264,0.0,393211632.0
1,6,28,208,607729614.0,306400452.0
2,8,29,195,352033522.0,565982489.0
1,16,39,194,1115291943.0,839299916.0
4,13,58,211,627805336.0,1288457490.0
1,15,55,201,349715280.0,1163053809.0
0,5,52,249,681039792.0,0.0
2,13,39,286,393211632.0,446571666.0
2,5,6,286,306400452.0,484465044.0
5,2,25,261,565982489.0,362271312.0
1,23,46,355,839299916.0,333223250.0
5,8,40,254,1288457490.0,788679454.0
2,4,15,286,1163053809.0,324902468.0
3,4,46,266,0.0,352252950.0
4,16,17,246,446571666.0,353383258.0
4,0,46,253,484465044.0,380975743.0
4,11,56,190,362271312.0,1317009063.0
3,8,13,231,333223250.0,745450592.0
3,11,0,245,788679454.0,1519521248.0
4,1,40,288,324902468.0,350564951.0
4,0,5,281,352252950.0,492935864.0
4,14,50,323,353383258.0,1662722494.0
5,20,26,191,380975743.0,492753660.0
3,18,20,245,1317009063.0,690646058.0
5,0,48,345,745450592.0,322931118.0
2,9,43,272,1519521248.0,1214161330.0
0,8,52,200,350564951.0,631452861.0
0,6,43,200,492935864.0,293871107.0
4,17,3,197,1662722494.0,811643154.0
5,6,12,198,492753660.0,468290323.0
4,1,50,239,690646058.0,455254848.0
3,11,32,217,322931118.0,1364241759.0
0,2,9,305,1214161330.0,467510400.0
3,23,7,224,631452861.0,392212273.0
0,23,38,340,293871107.0,330832818.0
5,3,27,261,811643154.0,340866604.0
2,21,27,216,468290323.0,360693778.0
3,1,22,336,455254848.0,505902755.0
0,21,31,270,1364241759.0,575371304.0
0,15,17,256,467510400.0,525854916.0
0,14,58,319,392212273.0,1494694572.0
2,8,33,258,330832818.0,627505880.0
0,9,17,270,340866604.0,1165250321.0
2,19,22,251,360693778.0,519108018.0
3,7,41,203,505902755.0,533837029.0
1,8,48,243,575371304.0,870060765.0
4,21,56,246,525854916.0,360611079.0
0,16,6,263,1494694572.0,1569424120.0
1,11,25,257,627505880.0,654065250.0
0,8,45,221,1165250321.0,685564548.0
3,7,51,217,519108018.0,864124910.0
0,18,11,193,533837029.0,535918908.0
4,0,13,288,870060765.0,482384524.0
0,17,12,347,360611079.0,707401288.0
3,3,42,231,1569424120.0,347705120.0
2,6,52,265,654065250.0,441929716.0
5,5,5,268,685564548.0,580500109.0
5,1,53,303,864124910.0,428740758.0
3,0,23,280,535918908.0,446649594.0
3,15,37,308,482384524.0,1651164132.0
0,13,10,319,707401288.0,1733352960.0
3,19,6,252,347705120.0,785447188.0
